Bankrupt,Net_Value_Per_Share_(B),Net_Value_Per_Share_(A),Net_Value_Per_Share_(C),Operating_Profit_Growth_Rate,Total_Asset_Return_Growth_Rate_Ratio,Total_debt/Total_net_worth,Operating_profit/Paid-in_capital,Net_profit_before_tax/Paid-in_capital,Average_Collection_Days,Revenue_per_person,Total_income/Total_expense
0,0.200707935,0.18979394,0.189625385,0.848057039,0.264068194,0.006892275,0.123226994,0.184352613,0.008954943,0.015525168,0.002307044
0,0.195693397,0.185495765,0.185411487,0.848037981,0.26405887,0.01100776,0.101226245,0.176970063,0.007640778,0.016535699,0.002307051
0,0.228098268,0.213138932,0.212843959,0.848160903,0.264090729,0.004948978,0.107113196,0.176902194,0.006525572,0.013104593,0.002307374
0,0.179849142,0.166701782,0.162066495,0.847921389,0.263450436,0.011572238,0.106803785,0.182738858,0.00784657,0.050858511,0.002307434
0,0.187012768,0.176941553,0.176520163,0.847992031,0.264118703,0.022207936,0.109140652,0.186366036,0.01148593,0.026364878,0.002307808
0,0.202688467,0.19143736,0.191226666,0.848062509,0.263443442,0.002895339,0.104450633,0.181947063,0.005190059,0.01527841,0.002307983
0,0.189878218,0.180059837,0.179680587,0.848013065,0.264434187,0.005543549,0.103302555,0.173538949,0.005052579,0.02172936,0.002308747
0,0.194007838,0.184147318,0.183936623,0.848031487,0.263985049,0.003863796,0.103050141,0.175318603,0.00517725,0.01770486,0.00230954
0,0.188951161,0.178922085,0.17871139,0.848006618,0.264483142,0.003797226,0.112071914,0.185943745,0.005362548,0.02296021,0.00231003
0,0.223673676,0.207997977,0.207829421,0.848142174,0.263862275,0.004727382,0.10770759,0.17528844,0.013995568,0.01350998,0.002310197
0,0.230584468,0.216172938,0.215877966,0.848175384,0.2639664,0.013670561,0.100232872,0.175597617,0.007775695,0.012678642,0.002310273
0,0.220428975,0.205553917,0.205343222,0.848133575,0.264443512,0.009800381,0.111746218,0.183877536,0.009220509,0.013689174,0.002310866
0,0.208461506,0.196325481,0.196156926,0.848083425,0.264065863,0.00372792,0.11525559,0.181585099,0.008001127,0.014561638,0.002310934
0,0.188108381,0.178079306,0.177742194,0.848001489,0.263823422,0.009048049,0.099540769,0.173561572,0.007791919,0.025004774,0.002311008
0,0.189035439,0.179006363,0.178753529,0.848006924,0.263883255,0.006082492,0.097472601,0.176464822,0.010618358,0.022939647,0.002311382
0,0.186970629,0.176688719,0.176309469,0.847991067,0.26407208,0.002566137,0.104108652,0.178493326,0.00737692,0.026511758,0.002311425
0,0.193207197,0.183178121,0.182967427,0.848027452,0.263860721,0.003644936,0.109669907,0.184149008,0.014098891,0.018530323,0.00231173
0,0.196915427,0.186338545,0.186254267,0.848043004,0.26377369,0.005375756,0.110296872,0.181291004,0.00839051,0.016309505,0.002311886
0,0.188276937,0.178332139,0.177995028,0.848003372,0.263846734,0.008730702,0.108448548,0.178485785,0.006976436,0.024696327,0.002311931
0,0.239349374,0.226496987,0.225401374,0.848241897,0.263716965,0.003471671,0.110305014,0.182769022,0.007882434,0.01123041,0.002312141
0,0.186844212,0.176520163,0.176014496,0.847989243,0.264168434,0.007985665,0.10430407,0.176314003,0.010124799,0.026596948,0.002312211
0,0.20129788,0.190594581,0.190510303,0.848059333,0.264057316,0.006334181,0.113162994,0.176773999,0.003625698,0.015416477,0.002312236
0,0.20993637,0.197336817,0.197294678,0.848086731,0.263706864,0.009029811,0.103481688,0.18109494,0.007044749,0.014479385,0.002312399
0,0.181492562,0.173738991,0.17335974,0.847971033,0.264245363,0.003777164,0.101503086,0.178063494,0.00786621,0.044572066,0.002312421
0,0.18815052,0.178121445,0.177784333,0.848001631,0.264589598,0.003021184,0.112438321,0.182165749,0.010641414,0.024975398,0.002313119
0,0.240782099,0.227044794,0.226623404,0.848246274,0.263834301,0.00806409,0.113399124,0.185838172,0.007517815,0.011065905,0.002313363
0,0.193965699,0.184147318,0.183852345,0.848031252,0.264225937,0.004316107,0.136148973,0.207186487,0.008209481,0.017798863,0.002313823
0,0.191521638,0.181618979,0.181492562,0.848020735,0.263993597,0.012064673,0.114262218,0.183545736,0.00549405,0.01987574,0.002315678
0,0.19843243,0.187644853,0.18734988,0.848047381,0.263859944,0.006868565,0.096902633,0.174157303,0.008925911,0.01599812,0.002315952
0,0.192996502,0.182967427,0.182756732,0.848026547,0.263957853,0.00464075,0.102024199,0.178123822,0.004649534,0.018718329,0.002316019
0,0.216425772,0.202730606,0.202056382,0.848111753,0.264314521,0.008303924,0.102203332,0.173915994,0.01082842,0.014035809,0.002316233
0,0.181029034,0.172854073,0.171884876,0.847962174,0.264163772,0.004604273,0.116077972,0.186479149,0.007540016,0.046155428,0.00231627
0,0.201845687,0.190973832,0.190889554,0.848060897,0.264761328,0.001938737,0.125995408,0.188153231,0.004381407,0.015337162,0.002316825
0,0.194934895,0.184947958,0.184779402,0.848035275,0.265210465,0.006593166,0.120141026,0.180333308,0.005628968,0.016764831,0.002317226
0,0.181956091,0.174076103,0.173738991,0.847975526,0.264237592,0.010656672,0.107308613,0.180732976,0.008364892,0.042841825,0.002317386
0,0.203615524,0.192364418,0.192364418,0.84806645,0.263887918,0.006493767,0.116428095,0.19427645,0.008232536,0.015078654,0.002317717
0,0.240487127,0.226665543,0.226623404,0.848244756,0.263803996,0.006465498,0.116949208,0.183153608,0.009372505,0.01107178,0.002317897
0,0.199022376,0.188276937,0.188066242,0.848050274,0.263950082,0.00384191,0.103595681,0.182527713,0.003914319,0.015877679,0.002317899
0,0.192785808,0.182756732,0.182503898,0.848025358,0.264107047,0.002295297,0.121761363,0.181909358,0.007621138,0.018809394,0.002318102
0,0.179891281,0.166954616,0.162951414,0.847923906,0.26379234,0.008058618,0.104369209,0.179986426,0.005217384,0.050782134,0.002318765
0,0.180902617,0.172348405,0.171632042,0.847959598,0.264424086,0.016345216,0.128617259,0.192753186,0.005895388,0.046572566,0.002318819
0,0.206354557,0.194302811,0.194260672,0.848076614,0.263701424,0.004684522,0.108432263,0.178071035,0.005240439,0.014767269,0.002319226
0,0.219923307,0.204668998,0.204542581,0.848126975,0.264204956,0.002963733,0.103579396,0.181728376,0.005814266,0.013789052,0.002319326
0,0.196831149,0.186296406,0.18612785,0.848042746,0.264227491,0.007944628,0.108106568,0.176042531,0.005897949,0.016324193,0.002319329
0,0.180860478,0.17213771,0.17091568,0.84795661,0.264220497,0.044967581,0.128096145,0.192919086,0.011478245,0.046866325,0.002319833
0,0.188234798,0.178247861,0.17791075,0.848002231,0.264117149,0.009227697,0.102577882,0.178757258,0.005448793,0.024787392,0.002320705
0,0.206902364,0.194977034,0.194892756,0.848079402,0.263560777,0.00603416,0.10481704,0.175394013,0.008187279,0.014702642,0.002320708
0,0.186844212,0.176435886,0.175972357,0.84798922,0.263510269,0.008230971,0.106917778,0.177792022,0.012660055,0.026614573,0.002320923
0,0.188866883,0.178837807,0.178500695,0.84800616,0.264016909,0.003653143,0.104922892,0.178221854,0.013706093,0.023174654,0.002320926
0,0.191690194,0.181703257,0.18157684,0.848021665,0.264385233,0.008327634,0.099622193,0.174413694,0.006178885,0.019681859,0.002321417
0,0.180986895,0.172727656,0.171758459,0.847961527,0.263655578,0.002324479,0.138493983,0.198868864,0.004175615,0.046258244,0.002321583
0,0.200412962,0.189541107,0.189372551,0.848056133,0.263630712,0.00374707,0.109743189,0.184141467,0.00395616,0.015616233,0.002321807
0,0.194555645,0.184652986,0.184610847,0.848033487,0.264110932,0.008820069,0.139348934,0.208151723,0.007592105,0.016917586,0.002322072
0,0.187307741,0.177236526,0.176941553,0.84799389,0.264082181,0.004728294,0.107422607,0.180665108,0.008282063,0.025891926,0.002322076
0,0.18692849,0.176562302,0.176140913,0.847990031,0.264316852,0.010757895,0.119823473,0.185943745,0.004775059,0.026552884,0.002322203
0,0.194934895,0.184947958,0.184821541,0.848035323,0.263535135,0.011885937,0.126312961,0.193635472,0.009121456,0.016758956,0.002322905
0,0.211200539,0.198558847,0.198306013,0.848093625,0.26418009,0.01596677,0.112218477,0.180250358,0.008315366,0.01438832,0.002324073
0,0.195272007,0.185327209,0.185116514,0.848036534,0.264002145,0.017902771,0.104572769,0.176163185,0.005663124,0.016606201,0.002324521
0,0.191268805,0.181366146,0.181071173,0.848019135,0.264237592,0.006744544,0.113977234,0.182459845,0.008841374,0.020560199,0.002324557
0,0.186970629,0.176815136,0.176435886,0.847991667,0.263747271,0.007025415,0.109018516,0.178629063,0.009534748,0.026397192,0.002324579
0,0.187644853,0.177531499,0.177278665,0.847996196,0.264295094,0.012206932,0.126084974,0.188304049,0.007990026,0.025565853,0.002324821
0,0.19063672,0.180818339,0.180439088,0.848017065,0.264390672,0.009141976,0.120653997,0.184593922,0.004670882,0.021165342,0.00232548
0,0.198895959,0.188234798,0.188024103,0.848049816,0.266253273,0.013640467,0.136572378,0.207269437,0.005923567,0.015898242,0.002325567
0,0.215077325,0.200960769,0.200876491,0.8481078,0.263626827,0.007871675,0.099662905,0.17437599,0.00887126,0.014165063,0.002326071
0,0.199485905,0.188951161,0.188740466,0.848052874,0.263703756,0.001863048,0.098417119,0.17462484,0.006763813,0.015736674,0.00232704
0,0.217099996,0.203278412,0.203109856,0.848115294,0.265655718,0.001871255,0.102154478,0.174934017,0.005684472,0.013953557,0.002327139
0,0.17955417,0.163667776,0.159538157,0.847899225,0.264163772,0.006606845,0.097008484,0.178176608,0.008047238,0.052215678,0.002327275
0,0.193712865,0.183852345,0.183725928,0.848030888,0.263845957,0.009632588,0.101600795,0.179254958,0.00894982,0.018157249,0.002327534
0,0.210273482,0.19763179,0.197463234,0.848087825,0.26411948,0.005049289,0.103766672,0.173395672,0.00766981,0.014452947,0.002327621
0,0.232607138,0.218237748,0.217774219,0.848185372,0.26380011,0.003814552,0.10967805,0.181245758,0.010056486,0.012320256,0.002327877
0,0.180396949,0.170789263,0.169061565,0.847949505,0.264369692,0.00804038,0.116126826,0.188605686,0.007708236,0.048446749,0.002328211
0,0.201972104,0.190973832,0.190889554,0.848061238,0.263974171,0.016443703,0.112731448,0.182112963,0.008260715,0.015334224,0.002328424
0,0.215540854,0.201382158,0.201087186,0.848109388,0.263871599,0.00415105,0.110622567,0.183040495,0.006054215,0.014109249,0.002328499
0,0.201213602,0.190510303,0.190383886,0.848059274,0.263861498,0.006020482,0.116916638,0.186471608,0.010178595,0.015434102,0.002328505
0,0.2218617,0.206354557,0.205975307,0.848138175,0.26423293,0.010059366,0.111542658,0.194366941,0.006049091,0.013642172,0.002328729
0,0.197505373,0.186844212,0.186675656,0.848044981,0.26424614,0.005683984,0.112633739,0.182324108,0.008768791,0.016203751,0.002329591
0,0.202688467,0.191395221,0.191184527,0.848062427,0.264084513,0.00696614,0.116721221,0.184428022,0.008161662,0.01527841,0.002329655
0,0.21979689,0.20458472,0.204500442,0.848126034,0.264624566,0.009412816,0.100550426,0.178470704,0.005917589,0.013791989,0.002330323
0,0.193670726,0.183810206,0.183515233,0.848029782,0.264646323,0.003150676,0.110060742,0.18275394,0.006717702,0.018218939,0.00233069
0,0.189498968,0.179469892,0.179259197,0.848010054,0.264411653,0.004648045,0.121443809,0.189699118,0.010913811,0.022284564,0.002330723
0,0.19556698,0.185495765,0.185369348,0.848037616,0.263878593,0.003635816,0.101950918,0.174594676,0.006204503,0.016541574,0.002331339
0,0.223673676,0.207913699,0.207787282,0.84814208,0.264034004,0.004847755,0.108163564,0.189043059,0.004225996,0.013512918,0.002331352
0,0.196451898,0.186043572,0.185917155,0.848040899,0.263458983,0.002192251,0.106494374,0.180461504,0.006241221,0.01638882,0.002331467
0,0.193797143,0.183936623,0.183810206,0.848030958,0.263989712,0.005437766,0.118308988,0.183734258,0.00872695,0.018101435,0.00233172
0,0.194302811,0.184610847,0.184400152,0.848033146,0.264314521,0.015933029,0.124497207,0.185453586,0.010724243,0.017005714,0.002332343
0,0.205764612,0.193965699,0.193839282,0.848074532,0.263633821,0.003117847,0.106714218,0.180325767,0.007139533,0.014817208,0.002332622
0,0.190594581,0.1807762,0.180396949,0.848016371,0.264161441,0.005619238,0.126264107,0.190747304,0.003625698,0.021197656,0.002333089
0,0.195609119,0.185495765,0.185411487,0.848037864,0.264270229,0.012613648,0.118944094,0.185551618,0.010799387,0.016538637,0.002333196
0,0.204753276,0.193460031,0.193375753,0.848071214,0.264029342,0.006474617,0.108171707,0.17844054,0.009354573,0.014917086,0.00233332
0,0.195398424,0.185369348,0.185116514,0.848036652,0.263999036,0.003443402,0.104792613,0.17761104,0.009864357,0.016594451,0.002333675
0,0.190299608,0.18035481,0.180144115,0.848014818,0.263748825,0.00724154,0.118577687,0.188417163,0.010020622,0.021500228,0.002333933
0,0.219965446,0.205090388,0.204668998,0.848128128,0.264664973,0.009038018,0.115174166,0.187037177,0.007403391,0.013768488,0.002334023
0,0.201845687,0.190931693,0.190847415,0.848060274,0.266437435,0.003644024,0.101592652,0.174918935,0.01112558,0.0153401,0.002334153
0,0.192069445,0.181956091,0.181703257,0.848022629,0.264197963,0.006377042,0.100745843,0.177460222,0.005467579,0.019285284,0.002334322
0,0.182461759,0.174539632,0.173991825,0.847977373,0.264654871,0.006475529,0.10178807,0.17794284,0.006741611,0.040782574,0.002334347
0,0.206396696,0.19434495,0.194302811,0.848076732,0.264062755,0.008017582,0.106917778,0.185280145,0.005880871,0.014764332,0.00233462
0,0.229699549,0.215414437,0.215119464,0.848169855,0.264082958,0.00684212,0.100753986,0.185430963,0.015710217,0.01284021,0.002334806
0,0.18979394,0.17993342,0.179638448,0.848012865,0.264322291,0.003022096,0.097985572,0.176087776,0.007473411,0.021832175,0.002334895
0,0.19063672,0.180818339,0.180396949,0.848016735,0.263864606,0.007193208,0.123967952,0.195121032,0.008172763,0.021185905,0.002335449
0,0.202604189,0.191310943,0.191184527,0.848062227,0.265721768,0.005758761,0.102691876,0.177316944,0.005658001,0.01527841,0.002335902
0,0.180312671,0.169567233,0.167881674,0.847941787,0.263837409,0.006160005,0.112014917,0.17985069,0.00776801,0.048907951,0.002335928
0,0.19843243,0.187560575,0.18734988,0.848047216,0.26401924,0.002416582,0.103807384,0.178644144,0.009391291,0.01599812,0.002336303
0,0.192364418,0.182293203,0.182040369,0.848023535,0.263791563,0.0039559,0.113798101,0.181004449,0.00765871,0.019079653,0.002336357
0,0.19063672,0.180860478,0.180439088,0.848017077,0.263453544,0.002671007,0.106119823,0.178908076,0.007341056,0.021150654,0.002336995
0,0.19885382,0.188234798,0.187981965,0.84804978,0.264302865,0.002340893,0.097928575,0.176675967,0.004522302,0.015901179,0.002337105
0,0.204289748,0.192996502,0.192954363,0.848068744,0.263641591,0.00253422,0.119652483,0.189947968,0.007093422,0.014978776,0.002337701
0,0.203489107,0.19228014,0.19228014,0.848065921,0.263987381,0.005029227,0.109287215,0.183100822,0.007412784,0.01509628,0.002337966
0,0.18035481,0.1700729,0.168176647,0.847945034,0.264561624,0.002564313,0.145789568,0.197564286,0.007617722,0.048734633,0.002338042
0,0.188276937,0.178247861,0.177952889,0.848002254,0.264044106,0.005076647,0.112479033,0.181336249,0.010523574,0.024775641,0.002338243
0,0.198516708,0.187729131,0.187518436,0.848048086,0.264038666,0.008961417,0.098905662,0.178704472,0.006376138,0.015977557,0.002338449
0,0.181239729,0.173401879,0.1725591,0.847967692,0.264194854,0.01795931,0.117136483,0.189239122,0.01215454,0.045441593,0.002338509
0,0.228561797,0.213391766,0.213138932,0.848162103,0.265018533,0.005265414,0.103497973,0.179820526,0.005655439,0.013086967,0.002338774
0,0.218701277,0.204036914,0.203868358,0.848121482,0.264271006,0.008252857,0.114009803,0.18515949,0.008503226,0.013856616,0.002338785
0,0.201045047,0.190383886,0.19021533,0.848058286,0.263956298,0.002430261,0.110899409,0.2,0.00730263,0.015460541,0.002338972
0,0.181366146,0.173570435,0.173022629,0.847969174,0.263971062,0.002017162,0.10695849,0.178787422,0.004939863,0.045062644,0.002339069
0,0.189709662,0.179764865,0.179512031,0.848011877,0.264111709,0.006068813,0.105403293,0.176706131,0.004256736,0.021993743,0.002339456
0,0.193628587,0.183725928,0.183388816,0.84802957,0.263834301,0.004811279,0.117958865,0.184450645,0.004184154,0.018257127,0.00234069
0,0.188361215,0.178416417,0.178079306,0.848004301,0.263717742,0.004120045,0.09866139,0.176185808,0.012824859,0.024628762,0.002341033
0,0.195019173,0.185074375,0.18486368,0.84803564,0.264031673,0.013114291,0.108700962,0.190950909,0.005526499,0.016720767,0.002341685
0,0.212211875,0.19927521,0.199022376,0.84809666,0.263564663,0.002712956,0.111746218,0.178998567,0.007143803,0.014332506,0.002341895
0,0.235683283,0.220850365,0.22021828,0.848215311,0.264330062,0.008911261,0.108570684,0.181660508,0.014185136,0.011903118,0.002342285
0,0.229530993,0.215330159,0.215119464,0.848169373,0.263822645,0.002324479,0.124220366,0.191629591,0.008311096,0.01284021,0.002342962
0,0.190973832,0.181071173,0.180860478,0.848018547,0.263995928,0.004783921,0.120963408,0.187670613,0.004438619,0.020762892,0.002343147
0,0.187729131,0.177657916,0.177362943,0.847997337,0.264082181,0.005228025,0.102292898,0.176811703,0.005252394,0.025457163,0.002343383
0,0.200876491,0.190131052,0.18979394,0.848057662,0.264340941,0.0124723,0.106103539,0.184488349,0.008003689,0.015492854,0.002343404
0,0.180986895,0.172727656,0.171758459,0.847961563,0.263807881,0.002200458,0.105647565,0.178975944,0.007224924,0.04622593,0.002343436
0,0.17993342,0.167460284,0.163667776,0.8479266,0.263889472,0.017779662,0.111265817,0.183447704,0.009774696,0.050464874,0.002343498
0,0.203573385,0.192364418,0.192322279,0.848066273,0.265129652,0.003749806,0.102887293,0.174466481,0.010032577,0.015084529,0.002343541
0,0.205891029,0.194092116,0.193965699,0.848075096,0.263948528,0.001847546,0.101478659,0.177633663,0.011712216,0.014799583,0.002343842
0,0.229910244,0.215667271,0.215330159,0.848170326,0.264187084,0.003005681,0.121557803,0.191659754,0.006167785,0.012775583,0.002344051
0,0.187897687,0.177784333,0.17748936,0.848000031,0.264002922,0.005061144,0.122030062,0.194864641,0.005289966,0.02538666,0.002344513
0,0.226960516,0.211242678,0.2111584,0.848154009,0.264181644,0.003106904,0.103196704,0.176555313,0.00895409,0.013366039,0.002345074
0,0.188698327,0.178753529,0.178332139,0.848005277,0.263967954,0.002931816,0.107780872,0.181879195,0.014276504,0.023321534,0.002345302
0,0.190973832,0.181071173,0.180860478,0.848018429,0.263994374,0.003035775,0.107349325,0.182165749,0.014099745,0.020786393,0.002346145
0,0.190046774,0.180144115,0.179849142,0.848013771,0.263549122,0.008595738,0.144584494,0.204524546,0.005502589,0.021608919,0.0023464
0,0.220344697,0.205343222,0.205216805,0.848131434,0.264003699,0.0031525,0.116965493,0.184231958,0.004623917,0.013700924,0.002346612
0,0.198179596,0.187181324,0.187054907,0.848046192,0.264050322,0.008762619,0.113830671,0.185528995,0.007014862,0.016065685,0.002347189
0,0.200665796,0.189751801,0.189625385,0.848057039,0.264164549,0.004904294,0.109458205,0.181434281,0.004984267,0.015557481,0.00234772
0,0.231132274,0.216762884,0.216678606,0.848176949,0.264094614,0.011620569,0.117804159,0.187286027,0.009667104,0.012502387,0.002348097
0,0.196072648,0.185875016,0.185580043,0.848039428,0.264137352,0.004141931,0.102235901,0.17470779,0.006514472,0.016468134,0.002348308
0,0.188066242,0.178079306,0.177742194,0.848001407,0.263748048,0.007306286,0.112641881,0.181283463,0.004154267,0.025025337,0.00234849
0,0.213981712,0.200876491,0.200581518,0.848105224,0.264152893,0.001824748,0.098360122,0.175816303,0.008235098,0.01420619,0.002349997
0,0.183051705,0.174750327,0.174286798,0.847980314,0.264078296,0.011456424,0.123357272,0.193220722,0.011013718,0.038961268,0.002350582
0,0.189330412,0.179301336,0.179048502,0.848008748,0.264277999,0.006279466,0.097676161,0.176231053,0.006558875,0.022522509,0.002350838
0,0.234798365,0.219923307,0.21979689,0.848204888,0.264164549,0.005830803,0.108090283,0.17595204,0.008557876,0.011991246,0.002351014
0,0.187518436,0.17748936,0.177194387,0.84799549,0.264055761,0.005048377,0.098734672,0.178998567,0.006757836,0.025659856,0.002351056
0,0.204331887,0.19308078,0.19308078,0.848069485,0.264154447,0.008707904,0.122795447,0.1925345,0.010090642,0.014946462,0.002351162
0,0.194892756,0.18486368,0.184695125,0.848034781,0.264121811,0.006135383,0.114783331,0.180966745,0.005883433,0.016817708,0.002351216
0,0.191310943,0.181408285,0.181071173,0.848019265,0.263794671,0.003964107,0.112267331,0.183900158,0.005759616,0.02052201,0.002351549
0,0.203404829,0.192238001,0.192195862,0.848065474,0.263977279,0.001853017,0.098563682,0.176736294,0.012337277,0.01510803,0.002351764
0,0.205764612,0.193965699,0.193797143,0.848074449,0.265287394,0.00403706,0.108912665,0.182369354,0.007434986,0.014831896,0.002352024
0,0.216046521,0.20214066,0.201845687,0.848111118,0.264230599,0.002246966,0.134650773,0.204615037,0.007341909,0.014068123,0.002352039
0,0.187981965,0.17791075,0.177657916,0.848000619,0.264455168,0.00536846,0.112413894,0.201342282,0.004610255,0.025201592,0.002352322
0,0.203489107,0.19228014,0.192238001,0.848065697,0.264173097,0.006543923,0.104751901,0.177663826,0.009918153,0.015105092,0.002352563
0,0.223378703,0.207787282,0.207281615,0.848141833,0.264349488,0.001785535,0.117413324,0.184111304,0.008278648,0.013527606,0.002353391
0,0.220386836,0.205553917,0.205301083,0.848133328,0.264124142,0.003426075,0.111966063,0.182972626,0.00602262,0.013689174,0.002353419
0,0.190257469,0.18035481,0.180101976,0.848014547,0.263948528,0.005072999,0.101975345,0.177233994,0.007781673,0.021517853,0.002353909
0,0.179512031,0.162487885,0.159074628,0.847891108,0.26356,0.006905042,0.12103669,0.187934545,0.006374431,0.05234787,0.002354059
0,0.189119717,0.179048502,0.178795668,0.848007042,0.2640985,0.008502722,0.110101454,0.177663826,0.005880871,0.022913209,0.002354534
0,0.203109856,0.191774472,0.191605916,0.848063768,0.264014578,0.005217994,0.100330581,0.173689767,0.00602689,0.015196158,0.002354819
0,0.189372551,0.179385614,0.179174919,0.848009042,0.264401551,0.010435076,0.105264872,0.183153608,0.010494541,0.022337441,0.002354931
0,0.179764865,0.166280393,0.161645106,0.84791973,0.26421195,0.008424297,0.112112626,0.186448986,0.01064056,0.050905512,0.002355028
0,0.236736758,0.223041591,0.221988117,0.848226545,0.264163772,0.014639929,0.145504584,0.211582837,0.011562782,0.01164461,0.002355499
0,0.179469892,0.162066495,0.158737516,0.847878309,0.264068194,0.015892904,0.121044832,0.189337154,0.00641371,0.052368433,0.002355654
0,0.197463234,0.186844212,0.186633517,0.848044898,0.263949305,0.01900072,0.11100526,0.184933263,0.008363185,0.016212564,0.002356739
0,0.189246134,0.179259197,0.178922085,0.848007877,0.263921331,0.00355192,0.114107512,0.183492949,0.007173689,0.022540135,0.002356787
0,0.180860478,0.172053432,0.170873541,0.84795661,0.26420651,0.015517194,0.121305389,0.191569263,0.007545994,0.046966203,0.00235775
0,0.199359488,0.188866883,0.188529771,0.848052463,0.264005253,0.005089414,0.107626166,0.179639545,0.003635091,0.015774863,0.002358163
0,0.194260672,0.18448443,0.184273735,0.848032593,0.264064309,0.006027777,0.100696989,0.184216877,0.006181447,0.017199595,0.002358318
0,0.206017446,0.194092116,0.194007838,0.848075402,0.264184753,0.009636236,0.119937466,0.190061081,0.006836395,0.014781957,0.002358546
0,0.233239223,0.218911972,0.218237748,0.848190995,0.264009915,0.010977667,0.105362581,0.176042531,0.007343617,0.012293818,0.002358678
0,0.199359488,0.188866883,0.188445493,0.848052392,0.264284216,0.006035984,0.099345352,0.174994344,0.006552044,0.015774863,0.002359112
0,0.199823016,0.189161856,0.188951161,0.848053839,0.264010692,0.002432997,0.114376211,0.182731317,0.00926662,0.015710236,0.002359469
0,0.200412962,0.189541107,0.189372551,0.848056156,0.263976502,0.00556817,0.10927093,0.182542795,0.004398485,0.015613296,0.002359691
0,0.18734988,0.177278665,0.176941553,0.847994231,0.264062755,0.006695301,0.108888237,0.184405399,0.007657002,0.025833174,0.002359898
0,0.210863428,0.198221735,0.197800346,0.848091895,0.26406664,0.015033878,0.103066426,0.18607194,0.006755274,0.014408883,0.002359993
0,0.225443513,0.210399899,0.210273482,0.848149656,0.264173874,0.011087097,0.107797157,0.180242817,0.009416908,0.01341304,0.002360328
0,0.196241203,0.186001433,0.185875016,0.848039922,0.264260127,0.003323941,0.114172651,0.188288968,0.005126016,0.016403507,0.002360951
0,0.192996502,0.182925288,0.182756732,0.848026488,0.2640138,0.01052262,0.114449493,0.181796245,0.006970459,0.018730079,0.00236108
0,0.179469892,0.161687245,0.158611099,0.847876921,0.263939203,0.027976728,0.123039719,0.195136113,0.168586396,0.052485936,0.002361341
